year,make,model,trim,state,mileage,color,interior,sellingprice
2002,Land Rover,Range Rover,4.6 HSE,ga,133996,gray,beige,1700
2011,Land Rover,Range Rover,Supercharged,ca,44551,white,brown,40500
2010,Land Rover,Range Rover,HSE,ca,85858,black,black,32250
2008,Land Rover,Range Rover,HSE,ga,141286,gray,black,14000
2014,Land Rover,Range Rover,Supercharged,ca,2282,black,black,110000
2014,Land Rover,Range Rover,Autobiography,ca,5194,gray,black,131000
2013,Land Rover,Range Rover,HSE,pa,13610,black,black,85000
2012,Land Rover,Range Rover,HSE,pa,37287,black,black,46500
2012,Land Rover,Range Rover,HSE,fl,28860,silver,black,44300
2011,Land Rover,Range Rover,HSE,fl,53456,gray,gray,38200
2008,Land Rover,Range Rover,HSE,tx,66458,green,tan,20600
2008,Land Rover,Range Rover,HSE,ca,107303,black,gray,16000
2008,Land Rover,Range Rover,Supercharged,nc,71146,black,black,23100
2012,Land Rover,Range Rover,HSE,ca,8782,black,black,56500
2012,Land Rover,Range Rover,HSE,ca,70977,white,brown,40000
2011,Land Rover,Range Rover,HSE,ca,45337,blue,beige,36000
2009,Land Rover,Range Rover,Supercharged,az,83201,black,beige,26900
2008,Land Rover,Range Rover,HSE,pa,97563,white,tan,19500
2010,Land Rover,Range Rover,HSE,ca,80335,black,black,32000
2008,Land Rover,Range Rover,Supercharged,ca,127163,black,gray,17750
2012,Land Rover,Range Rover,HSE,pa,49526,blue,beige,42500
2009,Land Rover,Range Rover,Supercharged,pa,78476,blue,black,28000
2014,Land Rover,Range Rover,Autobiography,ca,8486,black,black,123000
2011,Land Rover,Range Rover,Supercharged,ca,54716,silver,black,46000
2014,Land Rover,Range Rover,Supercharged LWB,ca,107,black,brown,116000
2008,Land Rover,Range Rover,HSE,pa,122175,black,black,15200
2008,Land Rover,Range Rover,HSE,pa,47236,blue,beige,26100
2008,Land Rover,Range Rover,HSE,pa,83634,black,black,21400
2012,Land Rover,Range Rover,HSE,tn,37275,black,black,47000
2011,Land Rover,Range Rover,HSE,tn,29100,brown,brown,44000
2011,Land Rover,Range Rover,HSE,tn,47910,black,black,36800
2011,Land Rover,Range Rover,HSE,pa,38887,black,black,35000
2011,Land Rover,Range Rover,Supercharged,tn,37087,gray,black,45000
2008,Land Rover,Range Rover,HSE,ga,93606,gray,gray,15900
2002,Land Rover,Range Rover,4.6 HSE,md,211382,black,beige,1000
2008,Land Rover,Range Rover,HSE,fl,160651,black,beige,16300
2001,Land Rover,Range Rover,4.6 HSE,fl,46131,green,beige,11100
1998,Land Rover,Range Rover,4.6 HSE,wa,191662,white,black,200
2008,Land Rover,Range Rover,Supercharged,ca,64872,black,white,24000
2011,Land Rover,Range Rover,HSE,ca,32335,silver,black,40500
2011,Land Rover,Range Rover,HSE,tx,30938,black,tan,43000
2008,Land Rover,Range Rover,HSE,ca,118431,gray,gray,15000
1999,Land Rover,Range Rover,4.0 S,wa,149157,gray,gray,600
2012,Land Rover,Range Rover,HSE,tx,41573,blue,gray,45000
2011,Land Rover,Range Rover,HSE,wa,62425,white,brown,38300
2010,Land Rover,Range Rover,Supercharged,nv,32070,black,black,37750
2010,Land Rover,Range Rover,HSE,tx,76622,gray,tan,30000
2008,Land Rover,Range Rover,HSE,ca,84027,white,tan,22000
2008,Land Rover,Range Rover,HSE,nv,46753,red,tan,21250
2008,Land Rover,Range Rover,HSE,mn,54805,white,tan,22900
2008,Land Rover,Range Rover,Supercharged,tx,95947,gray,black,17000
2002,Land Rover,Range Rover,4.6 HSE,ca,104886,silver,gray,3750
2014,Land Rover,Range Rover,HSE,ga,9762,black,black,95000
2011,Land Rover,Range Rover,HSE,pa,43285,black,black,39500
2010,Land Rover,Range Rover,HSE,ga,42250,black,black,32900
2014,Land Rover,Range Rover,Autobiography,ca,13534,white,brown,115000
2008,Land Rover,Range Rover,HSE,oh,107809,white,tan,16500
2013,Land Rover,Range Rover,HSE,mi,20950,black,tan,82000
2008,Land Rover,Range Rover,Supercharged,pa,100214,silver,black,18900
2008,Land Rover,Range Rover,HSE,nj,99674,white,tan,16800
2008,Land Rover,Range Rover,Supercharged,ga,109298,black,brown,18200
2008,Land Rover,Range Rover,Supercharged,il,95018,black,black,20200
2002,Land Rover,Range Rover,4.6 HSE,ca,122758,silver,gray,3000
2011,Land Rover,Range Rover,HSE,ca,15405,silver,beige,45000
2010,Land Rover,Range Rover,HSE,ca,59776,black,black,35500
2008,Land Rover,Range Rover,Supercharged,ga,105580,black,black,17000
2001,Land Rover,Range Rover,4.6 SE,ca,99587,green,beige,1450
2011,Land Rover,Range Rover,HSE,ca,71991,black,black,35250
2008,Land Rover,Range Rover,Supercharged,nj,113719,silver,brown,17000
2008,Land Rover,Range Rover,HSE,ca,78020,black,tan,18250
2008,Land Rover,Range Rover,Supercharged,ga,86378,black,black,23600
2008,Land Rover,Range Rover,Supercharged,ca,119480,black,black,16500
2002,Land Rover,Range Rover,4.6 HSE,or,145923,white,tan,700
2000,Land Rover,Range Rover,4.6 Vitesse,md,147629,gold,beige,1500
2011,Land Rover,Range Rover,Supercharged,ga,47023,gray,black,47000
2011,Land Rover,Range Rover,HSE,ga,58294,black,beige,36200
2008,Land Rover,Range Rover,HSE,ga,79781,white,tan,22600
2008,Land Rover,Range Rover,HSE,ga,67106,black,black,22800
2008,Land Rover,Range Rover,Supercharged,nc,57189,black,black,26750
2008,Land Rover,Range Rover,HSE,fl,89798,black,gray,18800
2008,Land Rover,Range Rover,HSE,ca,129760,black,beige,15900
2000,Land Rover,Range Rover,4.6 Vitesse,md,119676,gold,black,1000
2000,Land Rover,Range Rover,4.0 SE,ca,93342,red,brown,2100
2010,Land Rover,Range Rover,HSE,fl,86827,black,beige,28000
2008,Land Rover,Range Rover,HSE,pa,103840,black,beige,15100
